Room	 Module	 Group	Studnets	 Capacity	Time_Slot	Day
0483 CR2	KCDMG71&81 Web Design and Development Gr B/P	B	4-16- 22-33- 36	20	09:00	Fri
941	KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-33- 36	120	10:00	Fri
0304 CR6	KCDMG81&81 Software Development Gr A/P	A	4-16- 22-33- 36	20	09:00	Mon
366	KCDMG1 Digital Naratives/L	All Groups	22-33- 36	45	11:00	Mon
0436 CR5 Projects/Media	KCDMG1 ESSENTIAL MATHS FOR COMP 1&2 Gr B/T	B	4-16- 22-33- 36	20	12:00	Mon
0436 CR5 Projects/Media	KCDMG81/KCDM81 ESSENTIAL MATHS FOR COMP 1&2 Gr A/T	A	22-33- 36	20	15:00	Mon
903	KCDMG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	29	130	10:00	Tue
994	KCDMG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-24- 26-28- 30-33- 36	130	10:00	Tue
994	KCDMG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	25	130	10:00	Tue
0483 CR2	KCDMG81&81 Software Development Gr B/P	B	4-16- 22-33- 36	20	11:00	Tue
209	KCDMG81&81 Software Development/L	All Groups	4-16- 22-33- 36	45	13:00	Tue
994	KCDMG81/KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-33- 36	150	09:00	Wed
366	KCDMG1 Digital Naratives/L	All Groups	22-33- 36	45	10:00	Wed
223	KCDMG81&81 Software Development/L	All Groups	4-16- 22-33- 36	45	16:00	Wed
0482 CR3	KCDMG81 INTRO TO DIG. GRAPHICS& DESI Gr B/P	B	4-16- 22-33- 36	15	10:00	Thur
366	KCDMG81&81 Web Design and Development/L	All Groups	22-33- 36	45	13:00	Thur
0482 CR3	KCDMG81&81 Web Design and Development Gr A/P	A	4-16- 22-33- 36	20	14:00	Thur
0483 CR2	KCDMG81&81 Web Design and Development Gr B/P	B	4-16- 22-33- 36	20	09:00	Fri
941	KCDMG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-33- 36	120	12:00	Fri
1035	KCDMG84 Media & Tech Convergence/L	All Groups	22-33- 36	20	10:00	Mon
0481 CR4	KCDMG84 Software Testing/P	P	22-33- 36	20	11:00	Mon
375	KCDMG84 Group Project	All Groups	5-16- 22-33- 36	25	13:00	Mon
159	KCDMG84 Social Web/Digital Media Strategy/L	All Groups	22-33- 36	30	15:00	Mon
	KCDMG84 Group Project	All Groups	4-16- 22-33- 36	25	16:00	Mon
373	KCDMG84 Info & Data Visualisation/L	All Groups	22-33- 36	20	10:00	Tue
0480 CR7	KCDMG84 Media & Tech Convergence/P	All Groups	22-33- 36	20	15:00	Tue
1033	KCDMG84 Social Web/Digital Media Strategy/L	All Groups	23-33- 36	20	10:00	Wed
939	KSOFG73/KCDMG84 Software Testing/lL	All Groups	22-33- 36	90	15:00	Wed
944	KCDMG84 Group Project	All Groups	4-16- 22-33- 36	25	16:00	Wed
PF05	KCDMG84 Social Web/Digital Media Strategy/L	All Groups	22	20	15:00	Thur
0480 CR7	KCDMG84 Info & Data Visualisation/P	All Groups	22-33- 36	20	10:00	Fri
944	KCDMG84 Group Project	All Groups	4-16- 22-33- 36	25	14:00	Fri
0480 CR7	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV E/P	E	22-33- 36	20	13:00	Mon
0483 CR2	KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/P	A	4-16- 22-33- 36	20	13:00	Mon
0484 CR1	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV C/P	All Groups	22-33- 36	20	11:00	Mon
0482 CR3	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/P	B	4-16- 22-33- 36	20	13:00	Mon
941	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L	All Groups	4-16- 22-33- 36	120	16:00	Mon
0481 CR4	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/P	D	4-16- 22-33- 36	20	13:00	Mon
0484 CR1	KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr C/T	C	22-33- 36	20	11:00	Mon
994	KSOFG71 COMP TECH/L	All Groups	22-28- 30-33- 36	90	09:00	Tue
994	KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-24- 26-28- 30-33- 36	130	10:00	Tue
994	KSOFG71 E-BUSINESS ADMIN/L	All Groups	4-16- 22-28- 30-33- 36	120	11:00	Tue
0482 CR3	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/P	E	4-16- 22-33- 36	20	14:00	Tue
0481 CR4	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV B/P	B	22-33- 36	20	10:00	Tue
0484 CR1	KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr B/T	B	22-33- 36	20	13:00	Tue
0483 CR2	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/P	C	4-16- 22-33- 36	20	14:00	Tue
903	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L	All Groups	22-26- 28-33- 36	87	11:00	Wed
PF05	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/T	All Groups	4-16- 22-33- 36	20	13:00	Wed
PF02	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/T	B	4-16- 22-33- 36	18	14:00	Wed
PF08 Active Learning Room	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/T	C	4-16- 22-33- 36	18	15:00	Wed
994	KCDMG71/KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-33- 36	150	17:00	Wed
0483 CR2	KSOFG71 COMP TECH Gr E/P	All Groups	22-33- 36	20	09:00	Wed
373	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/T	D	22-33- 36	18	13:00	Wed
0436 CR5 Projects/Media	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV A/P	All Groups	22-33- 36	20	14:00	Wed
0484 CR1	KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr A/T	A	22-33- 36	20	13:00	Wed
0483 CR2	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV D/P	All Groups	22-33- 36	20	14:00	Wed
0483 CR2	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/P	E	4-16- 22-33- 36	20	09:00	Thur
0483 CR2	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/P	A	4-16- 22-33- 36	20	11:00	Thur
941	KSOFG71 E-BUSINESS ADMIN/L	All Groups	4-16- 22-33- 36	120	13:00	Thur
PF02	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/T	A	4-16- 22-33- 36	18	16:00	Thur
0481 CR4	KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/P	D	4-16- 22-33- 36	20	09:00	Thur
0436 CR5 Projects/Media	KSOFG71 COMP TECH Gr C/P	C	22-33- 36	20	11:00	Thur
0480 CR7	KSOFG71 COMP TECH Gr D/P	D	22-33- 36	20	16:00	Thur
0436 CR5 Projects/Media	KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/P	C	4-16- 22-33- 36	20	09:00	Thur
0480 CR7	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/P	B	4-16- 22-33- 36	20	11:00	Thur
0484 CR1	KSOFG71 COMP TECH Gr B/P	B	22-33- 36	20	09:00	Thur
0480 CR7	KSOFG71 COMP TECH Gr A/P	A	22-33- 36	20	10:00	Thur
0481 CR4	KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr D/T	D	22-33- 36	20	11:00	Thur
0484 CR1	KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr E/T	E	22-33- 36	20	14:00	Thur
941	KSOFG71 COMP TECH/L	All Groups	22-33- 36	120	16:00	Thur
941	KSOFG71 GRAPH. USER INTERFACE&WEB; DEV/L	All Groups	22-33- 36	90	10:00	Fri
994	KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L	All Groups	4-7- 9-16- 22-33- 36	120	11:00	Fri
941	KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L	All Groups	22-33- 36	120	12:00	Fri
941	KSOFG71 E-BUSINESS ADMIN/L	All Groups	4-16- 22-33- 36	120	13:00	Fri
0483 CR2	KSOFG72 DATABASE MGMT Gr A/P	A	22-33- 36	20	09:00	Mon
