Room, Module, Group, Capacity, Classes
0482 CR3,KCDMG71 INTRO TO DIG. GRAPHICS& DESI Gr B/P,B,4-16- 22-33- 36,15
0366,KCDMG71&81 Web Design and Development/L,All Groups,22-33- 36,45
0482 CR3,KCDMG71&81 Web Design and Development Gr A/P,A,4-16- 22-33- 36,20
