Room, Module, Group, Capacity, Classes
0483 CR2,KCDMG71&81 Web Design and Development Gr B/P,B,4-16- 22-33- 36,20
0941,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-33- 36,120
