Room, Module, Group, Capacity, Classes
0470 Computing Practical Lab,KSOFG84 GESTURE BASED UI DEVELOPMENT/L,All Groups,22-33- 36,35
PF18,KSOFG84 Theory of Algorithms Gr A/P,A,28-33- 36,0
0379,KSOFG84 Theory of Algorithms Gr B/P,B,22-33- 36,0
