Room, Module, Group, Capacity, Classes
1033,KCDMG84 Social Web/Digital Media Strategy/L,All Groups,23-33- 36,20
0939,KSOFG73/KCDMG84 Software Testing/lL,All Groups,22-33- 36,90
,KCDMG84 Group Project,All Groups,4-16- 22-33- 36,25
