Room, Module, Group, Capacity, Classes
0436 CR5 Projects/Media,KBDIG73 Dynamic Web Dev/P,All Groups,22-33- 36,16
0484 CR1,KBDIG73 App. Modelling & Simulation/P,All Groups,22-33- 36,0
