Room, Module, Group, Capacity, Classes
0941,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV/L,All Groups,22-33- 36,90
0994,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L,All Groups,4-7- 9-16- 22-33- 36,120
0941,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-33- 36,120
0941,KSOFG71 E-BUSINESS ADMIN/L,All Groups,4-16- 22-33- 36,120
