Room, Module, Group, Capacity, Classes
0484 CR1,KBDIG72 PROJ MGT & COLLABORATIVE COMM Gr A/P,A,22-33- 36,20
0940,KBDIG72/KSOFG72 ACCTG/L,All Groups,22-33- 36,90
0938,KSOFG72/KBDIG72 ACCTG/L,All Groups,22-33- 36,50
0481 CR4,KBDIG72 APPLIED DIGITAL MEDIA 2 Gr B/P,B,22-33- 36,20
