Room, Module, Group, Capacity, Classes
0480 CR7,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV E/P,E,22-33- 36,20
0483 CR2,KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr A/P,A,4-16- 22-33- 36,20
0484 CR1,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV C/P,All Groups,22-33- 36,20
0482 CR3,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr B/P,B,4-16- 22-33- 36,20
941,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1/L,All Groups,4-16- 22-33- 36,120
0481 CR4,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr D/P,D,4-16- 22-33- 36,20
0484 CR1,KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr C/T,C,22-33- 36,20
