Room, Module, Group, Capacity, Classes
1035,KCDMG84 Media & Tech Convergence/L,All Groups,22-33- 36,20
0481 CR4,KCDMG84 Software Testing/P,All Groups,22-33- 36,20
0375,KCDMG84 Group Project,All Groups,5-16- 22-33- 36,25
0159,KCDMG84 Social Web/Digital Media Strategy/L,All Groups,22-33- 36,30
,KCDMG84 Group Project,All Groups,4-16- 22-33- 36,25
