Room, Module, Group, Capacity, Classes
PF05,KSOFG73 GRAPH THEORY Gr A/P,A,27-33- 36,16
0481 CR4,KSOFG73 Software Testing Gr A/P,A,22-33- 36,16
0994,KSOFG73/KBDIG73 Database Mgmt Sys/L,All Groups,22-33- 36,90
0223,KSOFG73 MOBILE APPS/L,All Groups,22-33- 36,60
0436 CR5 Projects/Media,KSOFG73 SERVER SIDE RAD Gr C/P,C,22-33- 36,20
