Room, Module, Group, Capacity, Classes
0484 CR1,KBDIG73 Dynamic Web Dev/P,All Groups,22-33- 36,16
0436 CR5 Projects/Media,KBDIG73 INDIVIDUAL PROJECTS,All Groups,22-33- 36,16
0939,KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L,All Groups,22-33- 36,90
0480 CR7,KBDIG73 INDIVIDUAL PROJECTS,All Groups,22-33- 36,16
0375,KBDIG73 Dynamic Web Dev/L,All Groups,22-33- 36,30
