Room, Module, Group, Capacity, Classes
994,KSOFG71 COMP TECH/L,All Groups,22-28- 30-33- 36,90
994,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-24- 26-28- 30-33- 36,130
994,KSOFG71 E-BUSINESS ADMIN/L,All Groups,4-16- 22-28- 30-33- 36,120
0482 CR3,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr E/P,E,4-16- 22-33- 36,20
0481 CR4,KSOFG71 GRAPH. USER INTERFACE&WEB; DEV B/P,B,22-33- 36,20
0484 CR1,KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2 Gr B/T,B,22-33- 36,20
0483 CR2,KSOAG81/KSOFG71 SOFTWARE DESIGN & PROG DEV 1 Gr C/P,C,4-16- 22-33- 36,20
