Room, Module, Group, Capacity, Classes
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media,KSOFG2/KBDIG3 Assessment,All Groups,33,0
0482 CR3,KBDIG73 MOBILE PROGRAMMING,All Groups,22-33- 36,20
0995,KSOFG73/KBDIG73 Database Mgmt Sys/L,All Groups,22-33- 36,90
