Room, Module, Group, Capacity, Classes
0483 CR2,KSOFG72 DATABASE MGMT Gr A/P,A,22-33- 36,20
0484 CR1- 0482 CR3- 0480 CR7,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Assessment,All Groups,33,16
0996,KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L,All Groups,22-33- 36,90
0436 CR5 Projects/Media,KSOFG72 DATA STRUCTURES & ALGORITHMS Gr C,C,22-33- 36,20
0436 CR5 Projects/Media,KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr C/P,C,22-33- 36,20
0223,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT/L,All Groups,22-32- 36,60
0364,KSOFG72 DATA STRUCTURES & ALGORITHMS/L,All Groups,22-33- 36,50
