Room, Module, Group, Capacity, Classes
0304 CR6,KCDMG71&81 Software Development Gr A/P,A,4-16- 22-33- 36,20
0366,KCDMG1 Digital Naratives/L,All Groups,22-33- 36,45
0436 CR5 Projects/Media,KCDMG1 ESSENTIAL MATHS FOR COMP 1&2 Gr B/T,B,4-16- 22-33- 36,20
0436 CR5 Projects/Media,KCDMG71/KCDM81 ESSENTIAL MATHS FOR COMP 1&2 Gr A/T,A,22-33- 36,20
