Room, Module, Group, Capacity, Classes
0903,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,29,130
0994,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,25,130
0483 CR2,KCDMG71&81 Software Development Gr B/P,B,4-16- 22-33- 36,20
0994,KCDMG71/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-24- 26-28- 30-33- 36,130
0484 CR1,KBDIG71 Business & Analytical Info Systems Gr A,A,22-33- 36,20
0209,KCDMG71&81 Software Development/L,All Groups,4-16- 22-33- 36,45
0365,KBDIG71 INTRO TO DIG. GRAPHICS& DESI./L,All Groups,25-33- 36,56
0470 Computing Practical Lab,KBDIG71 Business & Analytical Info Systems/L,All Groups,22-33- 36,30
