Room, Module, Group, Capacity, Classes
0370,KBDIG72 COMP FORENSICS & DIG INVESTIG/L,All Groups,22-33- 36,30
0480 CR7,KBDIG72 GROUP PROJECT,All Groups,22-33- 36,16
0483 CR2,KBDIG72 ACCTG Gr A/P,A,22-33- 36,20
0480 CR7,KBDIG72 GROUP PROJECT Gr A,All Groups,22-33- 36,16
0376,KBDIG72 APPLIED DIGITAL MEDIA 2/L,All Groups,22-33- 36,30
0374,KBDIG72 APPLIED DIGITAL MEDIA 2/L,All Groups,22-33- 36,30
PF18,KBDIG72 GROUP PROJECT Gr B,All Groups,22-33- 36,16
