Room, Module, Group, Capacity, Classes
0436 CR5 Projects/Media,KSOFG72 DATABASE MGMT Gr C/P,C,22-33- 36,20
0996,KBDIG72/KSOFG72 DATABASE MGMT/L,All Groups,22-33- 36,90
0482 CR3,KSOFG73 APPLD NETWORKING TECH 2 Gr B/P,B,22-33- 36,20
