Room, Module, Group, Capacity, Classes
0994,KCDMG71/KSOAG81/KSOFG71 ESSENTIAL MATHS FOR COMP 1&2/L,All Groups,22-33- 36,150
0366,KCDMG1 Digital Naratives/L,All Groups,22-33- 36,45
0223,KCDMG71&81 Software Development/L,All Groups,4-16- 22-33- 36,45
