Room, Module, Group, Capacity, Classes
0482 CR3,KSOFG73 Database Mgmt Systems Gr C/P,C,30-33- 36,16
0436 CR5 Projects/Media,KSOFG73 Software Testing Gr C/P,C,22-33- 36,20
0470 Computing Practical Lab,KSOFG73 MOBILE APPS Gr A/P,A,22-33- 36,23
0436 CR5 Projects/Media,KSOFG73 Software Testing Gr B/P,B,22-33- 36,16
0436 CR5 Projects/Media,KSOFG73 SERVER SIDE RAD Gr B/P,B,22-33- 36,20
0481 CR4,KSOFG73 Database Mgmt Systems Gr A/P,A,22-33- 36,20
0379,KSOFG73 GRAPH THEORY Gr B/P,B,22-33- 36,16
