Room, Module, Group, Capacity, Classes
0484 CR1,KBDIG73 INDIVIDUAL PROJECTS,All Groups,22-33- 36,16
0994,KSOFG73/KBDIG73 Database Mgmt Sys/L,All Groups,22-33- 36,90
0376,KBDIG73 Dynamic Web Dev/L,All Groups,22-33- 36,30
0996,KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L,All Groups,22-33- 36,90
0209,KBDIG73 INDIVIDUAL PROJECTS,All Groups,22-33- 36,56
