Room, Module, Group, Capacity, Classes
0940,KSOFG72 DATA STRUCTURES & ALGORITHMS/L,All Groups,22-33- 36,50
0996,KSOFG72 ADV. PROCEDURAL PROGRAMMING/L,All Groups,22-33- 36,50
0940,KBDIG72/KSOFG72 ACCTG/L,All Groups,22-33- 36,90
0938,KSOFG72/KBDIG72 ACCTG/L,All Groups,22-33- 36,50
0223,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT/L,All Groups,22-33- 36,60
0484 CR1,KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr A/P/01,A,22-33,20
