Room, Module, Group, Capacity, Classes
0480 CR7,KSOFG72 ACCTG C/P,C,22-33- 36,20
0940,KSOFG72 PROJ MGT & COLLABORATIVE COMM/L,All Groups,22-33- 36,70
0939,KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L,All Groups,22-33- 36,90
0480 CR7,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr B/P,B,22-33- 36,20
