Room, Module, Group, Capacity, Classes
PF18,KSOFG84 GESTURE BASED UI DEVELOPMENT Gr A/P,A,22-33- 36,20
PF18,KSOFG84 GESTURE BASED UI DEVELOPMENT Gr B/P,B,22-33- 36,18
