Room, Module, Group, Capacity, Classes
0995,KSOFGH84 Artificial Intelligence/L,All Groups,22-33- 36,38
0470 Computing Practical Lab,KSOFGH84 Artificial Intelligence/P,All Groups,22-33- 36,0
0379,KSOFG84 Theory of Algorithms/L,All Groups,22-33- 36,0
