Room, Module, Group, Capacity, Classes
1035,KBDIG72 PROJ MGT & COLLABORATIVE COMM/L,All Groups,22-33- 36,30
0483 CR2,KBDIG72 ACCTG Gr B/P,B,22-33- 36,20
0484 CR1,KBDIG72 COMP FORENSICS & DIG INVESTIG Gr A/P,A,22-33- 36,20
1035,KBDIG72 COMP FORENSICS & DIG INVESTIG/L,All Groups,22-33- 36,30
