Room, Module, Group, Capacity, Classes
0482 CR3,KBDIG73 INDIVIDUAL PROJECTS,All Groups,28-33,16
0484 CR1,KBDIG73 Database Mgmt Systems/P,All Groups,22-33- 36,20
0368,KBDIG73 MOBILE PROGRAMMING/L,All Groups,22-33- 36,30
