Room, Module, Group, Capacity, Classes
0483 CR2,KBDIG72 DATABASE MGMT Gr A/P,A,22-33- 36,20
0484 CR1,KBDIG72 APPLIED DIGITAL MEDIA 2 Gr A/P,A,22-33- 36,20
0480 CR7,KBDIG72 COMP FORENSICS & DIG INVESTIG Gr B/P,B,22-33- 36,20
0483 CR2,KBDIG72 PROJ MGT & COLLABORATIVE COMM Gr B/P,B,22-33- 36,20
