Room, Module, Group, Capacity, Classes
PF18,KSOFG73 MOBILE APPS Gr B/P,B,22-33- 36,23
PF18,KSOFG73 MOBILE APPS Gr C/P,C,22-33- 36,23
0436 CR5 Projects/Media,KSOFG73 SERVER SIDE RAD Gr A/P,A,22-33- 36,20
